cod_uf,name_uf,cod_city,city,created_at,updated_at
11,"Rondônia",01435,"Nova União","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01559,"Teixeirópolis","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01609,"Theobroma","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01708,"Urupá","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01807,"Vale do Paraíso","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00148,"Nova Brasilândia D'Oeste","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00320,"São Miguel do Guaporé","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00346,"Alvorada D'Oeste","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01500,"Seringueiras","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00015,"Alta Floresta D'Oeste","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00049,"Cacoal","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00098,"Espigão D'Oeste","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00288,"Rolim de Moura","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00296,"Santa Luzia D'Oeste","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00379,"Alto Alegre dos Parecis","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00502,"Novo Horizonte do Oeste","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00908,"Castanheiras","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01203,"Ministro Andreazza","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00189,"Pimenta Bueno","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00304,"Vilhena","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00924,"Chupinguaia","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01450,"Parecis","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01476,"Primavera de Rondônia","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01484,"São Felipe D'Oeste","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00031,"Cabixi","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00056,"Cerejeiras","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00064,"Colorado do Oeste","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00072,"Corumbiara","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01468,"Pimenteiras do Oeste","2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"Acre",00203,"Cruzeiro do Sul","2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"Acre",00336,"Mâncio Lima","2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"Acre",00351,"Marechal Thaumaturgo","2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"Acre",00393,"Porto Walter","2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"Acre",00427,"Rodrigues Alves","2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"Acre",00302,"Feijó","2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"Acre",00328,"Jordão","2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"Acre",00609,"Tarauacá","2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"Acre",00344,"Manoel Urbano","2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"Acre",00435,"Santa Rosa do Purus","2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"Acre",00500,"Sena Madureira","2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"Acre",00013,"Acrelândia","2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"Acre",00138,"Bujari","2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"Acre",00179,"Capixaba","2015-11-06 00:00:00","2015-11-06 00:00:00"
