pdsi_id  , extensao_territorial  , municipio_sede  , endereco  , email , numero_municipios , populacao_indigena  , etnias  , numero_polos_base , numero_sede_polos_base  , numero_ubsi , numero_regioes_de_saude , numero_casais , numero_aldeias  , numero_familias , meios_de_transporte , created_at  , updated_at  , fluvial , rodoviario  , aereo
1,"5575,685138","Maceió - AL","AV PRETESTATO FERREIRA MACHADO 1490, Jatiuca, CEP 57036400" ,"dseial.sesai@saude.gov.br  genilda.silva@saude.gov.br",10  , 14694 , 22  , 12  ,null,null, 6 , 0 , 39  , 2661  ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
2,"77754,22514","Altamira - PA","RUA HORACIO BANNER 1336, bairro Brasília, CEP 68375320 - Próximo à praça do Mirante","dseialt@saude.gov.br ; lindomar.silva@saude.gov.br ",5 , 3420  , 17  , 1 ,null,null, 2 , 1 , 41  , 736 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
3,"68352,71593","Cruzeiro do Sul - AC ","RUA AFONSO PENA 1830, bairro 25 de agosto, CEP 69980000","dseiarj.sesai@saude.gov.br ;  mario.sjunior@saude.gov.br ",8 , 14095 , 22  , 7 ,null,null, 2 , 1 , 149 , 292 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
4,"137226,1249","São Gabriel da Cahoeira - AM ","BR 307, KM 0, Centro, CEP 69750000 ","sesai@saude.gov.br ",3 , 37163 , 51  , 25  ,null,null, 1 , 1 , 774 , 1868  ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
5,"125661,9088","Rio Branco - AC","RUA RIO DE JANEIRO, Nº 1.214, bairro Abraão Alab, CEP 69918048 ","jiza.cezar@saude.gov.br",8 , 10735 , 16  , 6 ,null,null, 4 , 1 , 137 , 535 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
6,"46491,30475","Tabatinga - AM ","RUA MARECHAL RONDON, 279, bairro Santa Rosa, 69640000","dseiars@saude.gov.br ; weydson.pereira@saude.gov.br",7 , 56125 , 15  , 12  ,null,null, 2 , 1 , 230 , 744 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
7,"144321,3469","Macapá - AP","AV PEDRO BAIAO 1071, bairro Central, CEP 68900116"," ",4 , 11300 , 12  , 6 ,null,null, 3 , 2 , 137 , 455 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
8,"64378,60809","São Felix do Araguaia - MT ","AVENIDA ARAGUAIA, 148, bairro Centro, CEP 78670970" ," ",12  , 4445  , 15  , 4 ,null,null, 8 , 1 , 34  , 100 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
9,"95375,40964","Salvador - BA","RUA DA GRAÇA, 401, bairro Graça, CEP 40150055 " ,"dseiba.sesai@saude.gov.br ; jerry.jesus@saude.gov.br ",23  , 28148 , 17  , 10  ,null,null, 12  , 1 , 129 , 220 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
10 ,"22808,99299","Fortaleza - CE ","RUA TOMAS ACIOLI, NÚMERO 1595, Dionísio Torres, CEP 60135206" ,"dseice.sesai@saude.gov.br ; meire.fontes@saude.gov.br",18  , 24849 , 17  , 9 ,null,null, 9 , 1 , 100 , 618 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
11 ,"148099,4711","Cuiabá - MT","RUA RUI BARBOSA 282, bairro Goiabeiras, CEP 78032040" ,"dseicgb.sesai@saude.gov.br ; nubia.derossi@saude.gov.br",18  , 7299  , 20  , 5 ,null,null, 8 , 3 , 119 , 1266  ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
12 ,"239272,7891","Belém - PA ","AV CONSELHEIRO FURTADO 2050, bairro Cremação, CEP 66040150" ,"dseiguatoc@gmail.com  leone.rocha@saude.gov.br ",16  , 8488  , 38  , 8 ,null,null, 8 , 4 , 85  , 980 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
13 ,"55446,12963","Florianópolis - SC ","RUA CAPITAO PEDRO LEITE 530, bairro Barreiros, CEP 88117600","dseiinteriorsul.sesai@saude.gov.br ; kaio.koerich@saude.gov.br ",69  , 47147 , 19  , 8 ,null,null, 31  , 0 , 182 , 1198  ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
14 ,"97257,05919","Colíder - MT ","RUA APARECIDO DARCI GAVIOLI PENCA, 626, Bairro Setor Sul, CEP 78500000" ,"pauloroberto.rodrigues@saude.gov.br",5 , 5682  , 16  , 3 ,null,null, 6 , 3 , 41  , 159 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
15 ,"69361,70645","Redenção - PA","Av. Brasil, setor Parque dos Buritis, CEP 68552735" ,"dseikpa.sesai@saude.gov.br ; joao.paulo@saude.gov.br ",5 , 4948  , 5 , 4 ,null,null, 1 , 5 , 52  , 121 ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
16 ,"69449,22958","Boa Vista - RR ","AVENIDA CAPITÃO ENÊ GARCEZ, 1.874, bairro São Francisco, 69305135","doroteia.gomes@saude.gov.br",11  , 45715 , 14  , 34  ,null,null, 2 , 0 , 311 , 9468  ,null, "06/11/2015  00:00:00"  , "06/11/2015  00:00:00"  ,false,false,false
