name,sesai_id,created_at,updated_at
"KARIRI-XOCO",2094,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TINGUI BOTO",2186,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KARAPATO",2089,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KALANKÓ",2251,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PANKARARU",2154,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"JERIPANKÓ",2064,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"WASSUSU",2273,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XOCO",2221,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XUKURU KARIRI",2224,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"NÃO INDÍGENA",2001,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KARUAZU",2252,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ACONÃ",3073,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KARITIANA",2095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KATOKIN",3018,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KARARAO",2090,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KOIUPANKÁ",3019,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"FULNI-Ô",2039,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"WASSU",2210,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ATIKUM",2021,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"POTYGUARA",2167,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KARIRI",2093,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TUXA",2197,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KURUAIA",2120,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XIPAYA",2234,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ASSURINI",2018,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ARARA",3013,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ARAWETÉ",3055,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XIKRIM",2219,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAYAPO",2106,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XICRIN",2235,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAYAPÓ",2241,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PARAKANÃ",2233,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ARARA",2010,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XIPAYA",2220,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"JURUNA",2066,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MUNDURUKU",2139,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PARAKANÃ",2156,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"GUAJAJARA",2047,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"GAVIÃO",2042,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"NUKINI",2146,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAXINAWÁ",2102,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"JAMINAWA",2060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"SHANENAWA",2243,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAXINAWA",2247,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KULINA",2246,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"NAWA",3014,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"YAUANAWÁ",2245,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"POYANAWA",2168,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ASHANINKA",2253,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAMPA",2076,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KULINA MADIJA",2117,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KATUKINA",2244,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAXUYANA",2104,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"IAUANAUA",2054,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KONTANAWA",3093,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ARARA APOLIMA",3017,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ARANÃ",3070,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"APURINÃ",2008,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KATUKINA PANO",2098,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"BARE",2028,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"JURITI",3025,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TUKANO",2193,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"CUBEU",2114,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"WANANO",2207,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"BANIWA",2026,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TARIANO",2179,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"SIRIANO",2513,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MIRITI TAPUIA",2138,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"DESSANO",2036,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"WAREKENA",2209,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PIRATUAPUIA",2165,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TUYUKA",2198,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ARAPAÇO",2009,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"CURIPAKO",2119,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"HUPDE",2512,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ANAMBE",2004,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"SILCY-TAPUYA",2713,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"YEPAMASSÃ",2652,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"DAW",3072,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"BARASÁNA",3022,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"SIUCI",2804,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MAKUXI",2127,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"URUBU",2201,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TUPI",2552,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"BARA",2027,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"WAYANA",2212,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KARAPANA",2088,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TICUNA",2184,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MAKUNAMBÉ",2773,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"YANOMAMI",2225,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PIRATA",2774,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"BANAWA YAFI",2025,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MIRANHA",2137,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MAKU",2125,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MAKUNA",2126,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"WAPIXANA",2208,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"APARAI",2005,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"AHANENAWA",3015,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"COLUMBIARA",2034,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ONÇA",2802,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"HUPDES",2472,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"AMAWÁKA",3016,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PAUMARI",2162,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TATU",2803,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"AMONDAWA",2291,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"JAMAMADI",2059,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MANCHINERI",2242,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XI EIN",2263,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MACHINERI",2123,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAXARARI",2101,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KUJUBIM",2116,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAIXANA",2070,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KOCAMA",2108,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAMBEBA",2074,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"WITOTO",2213,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MARUBO",2128,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"WAI WAI",2204,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MAYORUNA",3068,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"HENGATÚ",2775,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KANAMARI",2078,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TERENA",2183,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KARIPUNA",2091,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TIRIYÓ",2187,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"WAIAPI",2205,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PALIKUR",2151,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"GALIBI MARWORNO",2041,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KARIPUNA DO AMAPA",2092,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAXUYANA",3056,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"GALIBI",2040,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAYABI",2105,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TAPIRAPE",2177,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MAXAKALI",2133,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KARAJÁ",2085,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"JAVAE",2062,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAMAYURÁ",2072,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XAVANTE",2215,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TAPUIA",2178,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"AVA-CANOEIRO",2022,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XERENTE",2216,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KRENAK",2112,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KARAJA JAVAE",2086,"2015-11-06 00:00:00","2015-11-06 00:00:00"
