base_polo_id,name,sesai_id,city_name,city_sesai_id,created_at,updated_at
1,"KARIRI-XOCO",51903,"PORTO REAL DO COLEGIO",270750,"2015-11-06 00:00:00","2015-11-06 00:00:00"
2,"PLAKI-Ô",51383,"SAO SEBASTIAO",270880,"2015-11-06 00:00:00","2015-11-06 00:00:00"
3,"LAJEDO DO COURO",47273,"AGUA BRANCA",270010,"2015-11-06 00:00:00","2015-11-06 00:00:00"
4,"BOQUEIRÃO",51347,"PALMEIRA DOS INDIOS",270630,"2015-11-06 00:00:00","2015-11-06 00:00:00"
4,"DESALDEADO CIDADE",47418,"PALMEIRA DOS INDIOS",270630,"2015-11-06 00:00:00","2015-11-06 00:00:00"
5,"URBANIZADA",48236,"SAO SEBASTIAO",270880,"2015-11-06 00:00:00","2015-11-06 00:00:00"
1,"DESALDEADO CIDADE",47422,"PORTO REAL DO COLEGIO",270750,"2015-11-06 00:00:00","2015-11-06 00:00:00"
6,"COCAL",51967,"JOAQUIM GOMES",270380,"2015-11-06 00:00:00","2015-11-06 00:00:00"
7,"URBANIZADO",47339,"PORTO DA FOLHA",280560,"2015-11-06 00:00:00","2015-11-06 00:00:00"
4,"SERRA DO AMARO",50944,"PALMEIRA DOS INDIOS",270630,"2015-11-06 00:00:00","2015-11-06 00:00:00"
8,"TINGUI BOTO",51905,"FEIRA GRANDE",270260,"2015-11-06 00:00:00","2015-11-06 00:00:00"
9,"ARATIKUM",49942,"PARICONHA",270642,"2015-11-06 00:00:00","2015-11-06 00:00:00"
7,"ILHA DE SÃO PEDRO",48024,"PORTO DA FOLHA",280560,"2015-11-06 00:00:00","2015-11-06 00:00:00"
10,"URBANIZADOS",50153,"PARICONHA",270642,"2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"ACONÃ",46969,"TRAIPU",270920,"2015-11-06 00:00:00","2015-11-06 00:00:00"
4,"CAFURNA DE BAIXO",51343,"PALMEIRA DOS INDIOS",270630,"2015-11-06 00:00:00","2015-11-06 00:00:00"
9,"URBANIZADOS",48242,"PARICONHA",270642,"2015-11-06 00:00:00","2015-11-06 00:00:00"
4,"MATA DA CAFURNA",51344,"PALMEIRA DOS INDIOS",270630,"2015-11-06 00:00:00","2015-11-06 00:00:00"
10,"TANQUE",51854,"PARICONHA",270642,"2015-11-06 00:00:00","2015-11-06 00:00:00"
10,"ALTO DO PARICONHA",48770,"PARICONHA",270642,"2015-11-06 00:00:00","2015-11-06 00:00:00"
5,"FAZENDA TERRA NOVA",51382,"SAO SEBASTIAO",270880,"2015-11-06 00:00:00","2015-11-06 00:00:00"
8,"OLHO DÁGUA DO MEIO",51904,"FEIRA GRANDE",270260,"2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"BAIXA FRESCA",49076,"INHAPI",270330,"2015-11-06 00:00:00","2015-11-06 00:00:00"
9,"SERRA DO ENGENHO",47485,"PARICONHA",270642,"2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"BAIXA DO GALO",49074,"INHAPI",270330,"2015-11-06 00:00:00","2015-11-06 00:00:00"
12,"ROÇADO",49075,"INHAPI",270330,"2015-11-06 00:00:00","2015-11-06 00:00:00"
3,"SÍTIO GREGÓRIO",51899,"AGUA BRANCA",270010,"2015-11-06 00:00:00","2015-11-06 00:00:00"
9,"OURICURI",51853,"PARICONHA",270642,"2015-11-06 00:00:00","2015-11-06 00:00:00"
2,"DESALDEADO CIDADE",48233,"SAO SEBASTIAO",270880,"2015-11-06 00:00:00","2015-11-06 00:00:00"
4,"SERRA DO CAPELA",51346,"PALMEIRA DOS INDIOS",270630,"2015-11-06 00:00:00","2015-11-06 00:00:00"
4,"FAZENDA CANTO",47171,"PALMEIRA DOS INDIOS",270630,"2015-11-06 00:00:00","2015-11-06 00:00:00"
9,"FIGUEIREDO",51959,"PARICONHA",270642,"2015-11-06 00:00:00","2015-11-06 00:00:00"
4,"COITÉ",50943,"PALMEIRA DOS INDIOS",270630,"2015-11-06 00:00:00","2015-11-06 00:00:00"
9,"MOXOTÓ",51855,"PARICONHA",270642,"2015-11-06 00:00:00","2015-11-06 00:00:00"
3,"JANUÁRIA",51491,"AGUA BRANCA",270010,"2015-11-06 00:00:00","2015-11-06 00:00:00"
10,"CAMPINHOS",47720,"PARICONHA",270642,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"TUKAMÃ",51170,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"APYTEREWA",49203,"SAO FELIX DO XINGU",150730,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"MÏRATU",48260,"VITORIA DO XINGU",150835,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"JURUÃTI",48026,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"PARATATIM",50179,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"KRÃNH",50209,"SENADOR JOSE PORFIRIO",150780,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"KARARAÔ",51157,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"PAT-KRÔ",51648,"SENADOR JOSE PORFIRIO",150780,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"KWARAYA-PYA",50182,"SAO FELIX DO XINGU",150730,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"FURO SECO",50625,"VITORIA DO XINGU",150835,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"KWATINEMU",47737,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"PYTÓTKÔ",50180,"ANAPU",150085,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"TUKAYA",48190,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"PYKAJAKÁ",50960,"SENADOR JOSE PORFIRIO",150780,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"KAMÔKTIKÔ",50183,"SENADOR JOSE PORFIRIO",150780,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"IRIRI",51646,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"BOA VISTA",50164,"VITORIA DO XINGU",150835,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"XINGU",50740,"SAO FELIX DO XINGU",150730,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"ITAAKA",50208,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"KENKUDJÔY",50210,"ANAPU",150085,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"TA-AKATI",50184,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"MRÔTIDJÃM",51113,"ANAPU",150085,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"ARADYTI",50181,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"CUJUBIM",50207,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"TERRÂ WANGÂ",47194,"SENADOR JOSE PORFIRIO",150780,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"PAQUIÇAMBA",51644,"VITORIA DO XINGU",150835,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"ARARA",51645,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"IRINAPÃIN",49140,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"BAKAJÁ",47818,"SENADOR JOSE PORFIRIO",150780,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"ARÔMBI",51309,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"PARANOPIONA",50206,"SAO FELIX DO XINGU",150730,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"MAGARAPI-EBY",51310,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"CURUÁ",51156,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"IPIXUNA",51647,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"PAKAÑÃ",50959,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
13,"KURUATXE",47000,"ALTAMIRA",150060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
14,"CAMPU",47149,"MANCIO LIMA",120033,"2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"NOVA ALIANÇA",47803,"JORDAO",120032,"2015-11-06 00:00:00","2015-11-06 00:00:00"
16,"BOM FUTURO",47386,"MARECHAL THAUMATURGO",120035,"2015-11-06 00:00:00","2015-11-06 00:00:00"
17,"MORADA NOVA",51986,"FEIJO",120030,"2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"CORAÇÃO DA FLORESTA",48079,"JORDAO",120032,"2015-11-06 00:00:00","2015-11-06 00:00:00"
18,"MUCURIPE",46953,"TARAUACA",120060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"BOA VISTA",51202,"JORDAO",120032,"2015-11-06 00:00:00","2015-11-06 00:00:00"
